Name,Position,Age,Nat,Height,Weight,Personality,Club,Transfer Value,Av Rat,Gls,xG,Pens S,Pen/R,Shot/90,Shot %,ShT/90,Asts/90,Ps C/90,Pas %,K Ps/90,CCC,Cr A,Cr C/A,Tck/90,Tck R,K Tck,Int/90,Clear,Fls,Aer A/90,Hdrs W/90,Hdr %,Gl Mst,Drb/90,FA,Dist/90,Yel,Red,Off,Apps,Mins,Shots,Ast,Pens,Mins/Gm,ShT,Hdrs A,Cr C,Distance,Drb,Hdrs,Itc,K Pas,Pas A,Ps C,Tck A,Tck C,Expires,Salary,Preferred Foot,Acc,Aer,Agg,Agi,Ant,Bal,Bra,Cmd,Com,Cmp,Cnt,Cor,Cro,Dec,Det,Dri,Ecc,Fin,Fir,Fla,Fre,Han,Hea,Jum,Kic,Ldr,Lon,L Th,Mar,Nat,OtB,1v1,Pac,Pas,Pen,Pos,Pun,Ref,TRO,Sta,Str,Tck,Tea,Tec,Thr,Vis,Wor,K Hdrs/90,Blk/90,xG/shot,Sprints/90,Poss Won/90,Poss Lost/90,Pres A/90,Pres C/90,Pr passes/90,xA/90,Blk,xGP,xSv %,Conv %,OP-KP/90,Svt,xGP/90,OP-KP,Sv %,Svh,Svp,All/90,Cln/90,NP-xG/90,Pens Saved Ratio,NP-xG,Division,Style,Media Description,Media Handling,FK Shots,Ch C/90,Clr/90,Crs A/90,Cr C/90,Goals Outside Box,Hdrs L/90,K Tck/90,OP-Cr %,OP-Crs A/90,OP-Crs C/90,Ps A/90,Shts Blckd/90,Shots Outside Box/90,xG/90,Saves/90,Inf,Rec
Josip Mitrović,"M (R), AM (RLC), ST (C)",32,CRO,"5'7""",145 lbs,,Cercle Brugge,£30K - £325K,6.74,0,1.63,0,-,1.19,31%,0.37,0.27,23.05,80%,1.37,7,56,17%,3.48,86%,1,1.74,17,21,5.58,1.55,28%,0,1.55,11,8.4mi,2,0,2,12 (8),984,13,3,0,49.20,4,61,10,91.7mi,17,17,19,15,315,252,44,38,30/6/2032,"£3,300 p/w",Right,12,2-5,13-16,11-15,7-11,5-8,11-14,1-2,1-4,8-12,6-9,4-7,12-15,5-9,11-15,9-13,1-3,9-12,9-13,10-13,4-7,3-6,6,7,1-4,6-9,8-12,2-6,3-6,13-16,12-16,1-3,12,12-15,7-11,5-8,1-2,1-3,2-5,6-10,5-9,5-8,10-13,8-12,1-4,11-14,10-14,0.00,0.18,0.13,19.85,7.87,12.07,12.80,3.11,4.30,0.30,2,-,-,-,1.37,-,-,15,-,-,-,-,-,0.15,-,1.63,Jupiler Pro League,Creative,Experienced winger,Scouting Required,0,0.64,1.55,5.12,0.91,0,4.02,0.09,18%,5.12,0.91,28.81,0.00,0.55,0.15,-,,- -  - 
Emiliano Hidalgo,AM (RL),23,ARG,"5'10""",154 lbs,,Huracán,£160K - £1.6M,6.87,1,1.74,0,-,0.85,33%,0.28,-,26.95,85%,1.02,1,60,15%,2.10,74%,0,2.39,13,26,4.04,0.45,11%,0,2.90,24,7.6mi,4,0,3,20,"1,583",15,0,0,79.15,5,71,9,133.0mi,51,8,42,18,559,474,50,37,31/12/2033,"£1,400 p/w",Left,12-18,-,5-11,14-20,9-15,8-12,3-7,-,-,6-10,1-4,4-8,9-15,11-15,14-18,11-17,-,1-5,10-14,11-15,1-2,-,4-8,3-7,-,10-16,8-12,1-5,-,10-16,9-15,-,14-18,6-12,1-6,-,-,-,-,11-15,8-12,1-5,9-13,10-14,-,9-13,11-15,0.00,0.34,0.12,15.24,3.07,20.92,12.62,3.35,2.39,0.08,6,-,-,7%,1.02,-,-,18,-,-,-,-,-,0.10,-,1.74,Liga Profesional de Fútbol,Physical,Winger,Scouting Required,0,0.06,0.74,3.41,0.51,1,3.58,0.00,15%,3.41,0.51,31.78,0.00,0.28,0.10,-,,- -  - 
Franco Godoy,D (LC),31,ARG,"6'1""",169 lbs,,Unión Sante FE,£400K,6.63,0,0.21,0,-,0.11,0%,0.00,-,51.44,90%,0.34,1,5,20%,0.97,74%,6,1.71,27,15,7.47,5.53,74%,0,0.06,6,7.1mi,4,0,0,19 (1),"1,578",2,0,0,78.90,0,131,1,124.8mi,1,97,30,6,999,902,23,17,31/12/2032,"£6,500 p/w",Left,10-14,-,14-18,8-12,9-13,7-11,10-14,-,-,11-17,11-15,2-6,8-12,9-15,10-16,4-8,-,-,9-15,7-11,1-3,-,10-14,9-13,-,15-19,1-7,2-8,8-12,11-15,6-10,-,9-13,9-13,-,9-13,-,-,-,5-11,7-13,10-14,6-10,7-13,-,6-10,8-14,0.40,0.40,0.10,5.36,12.55,4.22,3.02,1.08,3.99,0.01,7,-,-,-,0.34,-,-,6,-,-,-,-,-,0.01,-,0.21,Liga Profesional de Fútbol,Intelligent,Center back,Scouting Required,0,0.06,1.54,0.29,0.06,0,1.94,0.34,20%,0.29,0.06,56.98,0.57,0.00,0.01,-,Wnt,- -  - 
Rik Remacle,ST (C),23,BEL,"6'1""",167 lbs,,Leixões,£150K - £1.5M,6.73,4,1.97,0,-,1.59,63%,1.00,-,18.22,84%,0.17,2,11,27%,1.59,68%,0,1.09,9,9,10.70,3.09,29%,0,1.50,12,7.8mi,1,0,6,11 (9),"1,077",19,0,0,53.85,12,128,3,93.0mi,18,37,13,2,261,218,28,19,30/6/2034,"£7,000 p/w",Right,12-16,-,11-15,13-17,14-18,13-17,8-12,-,-,10-16,3-9,7-13,3-7,9-13,11-17,11-15,-,13-17,7-13,12-18,7-11,-,12-16,11-17,-,1-4,4-8,1-3,-,12-16,13-17,-,11-15,8-12,9-13,-,-,-,-,8-12,6-12,1-4,3-7,12-16,-,4-8,10-14,0.17,0.33,0.10,7.10,4.26,6.18,9.44,1.75,0.58,0.05,4,-,-,21%,0.17,-,-,2,-,-,-,-,-,0.16,-,1.97,Liga Portugal Betclic,Intelligent,Forward,Scouting Required,0,0.17,0.75,0.92,0.25,1,7.60,0.00,27%,0.92,0.25,21.81,0.17,0.58,0.16,-,Wnt,- -  - 
Johan Gómez,"M (C), AM (RC), ST (C)",30,USA,"5'10""",160 lbs,,Nashville,£3.4M - £5.6M,6.97,6,6.67,0,-,2.89,53%,1.52,0.11,16.61,76%,0.22,9,4,-,1.42,81%,0,0.60,3,20,5.12,1.14,22%,0,0.54,39,4.3mi,0,0,7,18 (2),"1,653",53,2,0,82.65,28,94,0,79.8mi,10,21,11,4,400,305,32,26,31/12/2034,"£12,750 p/w",Right,13-20,-,11-18,-,-,9-14,10-15,-,-,12-17,-,-,5-12,7-12,12-17,8-13,-,9-14,11-16,8-15,-,-,4-10,2-9,-,-,5-10,-,-,12-19,8-13,-,11-17,11-18,5-10,-,-,-,-,9-14,7-12,-,9-15,11-16,-,10-16,11-16,0.00,0.16,0.13,3.97,1.80,11.71,4.46,1.25,0.49,0.18,3,-,-,11%,0.22,-,-,4,-,-,-,-,-,0.36,-,6.67,Major League Soccer,Technical,Midfielder,Scouting Required,1,0.49,0.16,0.22,0.00,1,3.97,0.00,0%,0.22,0.00,21.78,0.00,0.44,0.36,-,Wnt,- -  - 
Jerónimo Pourtau,GK,32,ARG,"6'3""",165 lbs,,Argentinos,Not for Sale,6.84,0,0.00,0,-,-,-,-,-,18.29,70%,-,0,-,-,0.00,0%,0,-,-,1,-,-,-,0,-,9,3.6mi,1,0,0,20,"1,712",0,0,0,85.60,-,-,-,69.2mi,0,-,0,0,498,348,1,0,31/12/2033,"£6,000 p/w",Right Only,10-14,11-15,8-12,10-14,10-14,9-13,10-14,6-12,10-16,6-12,10-14,-,-,10-16,16-20,-,3-7,-,3-9,-,-,13-17,-,11-15,10-14,14-18,-,-,-,17-20,1-5,8-12,8-12,12-16,-,6-10,3-9,11-15,6-10,7-13,9-15,-,8-12,2-8,8-14,-,5-11,0.00,-,0.00,0.00,4.26,6.26,0.00,0.00,0.00,0.00,-,5.16,88%,-,0.00,8,0.27,0,74%,24,37,1.26,0.21,0.00,0%,0.00,Liga Profesional de Fútbol,Distributor,Experienced goalkeeper,Scouting Required,-,-,7.73,-,-,-,-,0.00,-,-,-,26.18,-,-,0.00,3,,- -  - 
Jeremías Merlo,"M (L), AM (LC)",26,ARG,"5'10""",156 lbs,,Racing (CB),£425K - £4.2M,6.58,0,1.00,0,-,0.68,38%,0.25,-,25.16,86%,1.02,2,66,18%,2.21,74%,0,1.87,6,15,4.59,1.53,33%,0,1.78,12,8.0mi,1,0,1,12 (8),"1,059",8,0,0,52.95,3,54,12,94.0mi,21,18,22,12,344,296,35,26,31/12/2033,"£3,800 p/w",Right,9-15,-,6-12,9-13,6-10,11-15,8-12,-,-,10-14,5-11,3-9,12-18,11-15,9-13,8-12,-,6-10,8-12,6-12,8-12,-,6-10,1-7,-,4-10,12-16,1-5,-,13-19,10-14,-,12-16,12-18,1-5,-,-,-,-,12-16,6-10,7-11,6-10,10-14,-,10-14,11-15,0.00,0.51,0.12,17.08,4.93,11.30,12.75,2.72,4.16,0.14,6,-,-,-,1.02,-,-,12,-,-,-,-,-,0.08,-,1.00,Liga Profesional de Fútbol,Creative,Winger,Scouting Required,0,0.17,0.51,5.61,1.02,0,3.06,0.00,18%,5.61,1.02,29.24,0.00,0.17,0.08,-,,- -  - 
Bautista Barros Schelotto,D/WB (R),32,ARG,"5'11""",160 lbs,,Sarmiento,£650K - £1.4M,6.88,0,0.99,0,-,0.97,12%,0.11,0.06,42.55,89%,0.68,6,27,11%,2.22,68%,4,2.51,23,13,3.88,2.45,63%,0,1.25,13,7.7mi,1,0,0,20,"1,578",17,1,0,78.90,2,68,3,134.7mi,22,43,44,12,838,746,57,39,31/12/2031,"£5,000 p/w",Right,8-14,-,7-13,10-16,11-17,8-12,8-12,-,-,11-15,12-16,5-9,6-12,10-14,8-12,8-14,-,-,10-14,6-10,2-6,-,10-14,9-13,-,6-12,6-10,6-10,11-15,5-11,8-14,-,11-15,8-14,-,7-11,-,-,-,9-13,8-12,12-16,13-17,10-14,-,12-16,10-14,0.23,0.86,0.06,13.80,14.20,14.14,8.44,2.62,6.33,0.15,15,-,-,-,0.68,-,-,12,-,-,-,-,-,0.06,-,0.99,Liga Profesional de Fútbol,Technical,Fullback,Scouting Required,0,0.34,1.31,1.54,0.17,0,1.43,0.23,11%,1.54,0.17,47.79,0.34,0.46,0.06,-,,- -  - 
Modesto Fuster,"AM (R), ST (C)",22,ESP,"6'0""",165 lbs,Spirited,Arsenal,£149M - £195M,7.47,18,11.37,0,-,2.41,60%,1.44,0.05,24.92,89%,1.03,11,30,10%,0.82,67%,1,0.62,7,32,6.15,1.64,27%,0,1.54,31,7.8mi,1,0,19,19 (1),"1,755",47,1,0,87.75,28,120,4,152.7mi,30,32,12,20,547,486,24,16,30/6/2035,"£130,000 p/w",Right,18,3,5,17,15,16,14,1,3,14,10,10,14,13,15,16,3,17,15,16,6,1,12,13,1,9,8,6,8,15,15,2,16,13,9,9,1,1,2,14,11,6,12,16,2,12,12,0.00,0.36,0.24,7.44,4.00,7.74,8.26,2.46,1.23,0.15,7,-,-,38%,0.97,-,-,19,-,-,-,-,-,0.58,-,11.37,Premier League,Technical,Striker,Evasive,0,0.56,0.36,1.54,0.21,0,4.51,0.05,13%,1.49,0.15,28.05,0.15,0.46,0.58,-,,- -  - 
Magnus Munck,"DM, M/AM (C)",27,DEN,"5'8""",149 lbs,,Nordsjælland,£150K - £8M,7.10,2,7.10,0,-,2.45,45%,1.10,0.15,16.75,73%,0.20,0,1,-,1.55,72%,0,0.10,1,21,0.30,0.20,67%,0,-,25,0.7mi,0,0,0,20,"1,800",49,3,0,90.00,22,6,0,14.7mi,0,4,2,4,459,335,43,31,31/12/2032,"£14,250 p/w",Right,13-17,-,11-15,10-14,13-17,8-12,9-13,-,-,12-18,9-13,7-11,9-13,3-9,13-19,11-15,-,6-10,12-18,9-13,5-9,-,7-11,4-8,-,13-17,8-14,1-7,5-9,14-18,11-15,-,11-15,15-19,-,9-13,-,-,-,8-14,7-13,7-11,10-14,10-16,-,11-15,9-15,0.05,-,0.14,1.05,1.45,0.60,1.25,0.35,0.45,0.09,0,-,-,4%,0.20,-,-,4,-,-,-,-,-,0.35,-,7.10,3F Superliga,Technical,Midfielder,Scouting Required,0,-,0.05,0.05,0.00,0,0.10,0.00,0%,0.05,0.00,22.95,0.00,0.00,0.35,-,,- -  - 
Kacper Potulski,D (C),23,POL,"6'4""",216 lbs,,Lechia,£325K - £1.1M,6.93,0,0.65,0,-,0.90,53%,0.48,0.18,53.93,90%,0.48,3,6,33%,1.02,81%,7,1.14,22,7,12.69,9.80,77%,0,0.06,1,7.1mi,3,0,0,17 (3),"1,497",15,3,0,74.85,8,211,2,118.4mi,1,163,19,8,995,897,21,17,30/6/2034,"£10,500 p/w",Right Only,7-12,-,10-15,12-17,12-17,11-17,8-14,-,-,6-13,14-20,-,-,10-15,10-17,5-10,-,-,2-9,-,-,-,11-16,14-20,-,4-9,3-8,-,11-18,8-13,8-13,-,9-14,4-9,-,9-15,-,-,-,11-16,10-17,9-14,6-11,4-9,-,-,7-12,1.56,0.36,0.04,5.11,16.53,6.55,2.53,0.72,6.25,0.07,6,-,-,-,0.48,-,-,8,-,-,-,-,-,0.04,-,0.65,PKO Bank Polski Ekstraklasa,Physical,Center back,Scouting Required,0,0.18,1.32,0.36,0.12,0,2.89,0.42,33%,0.36,0.12,59.82,0.30,0.06,0.04,-,Trn,- -  - 
Raphael Drent,D (LC),21,NED,"6'3""",185 lbs,,AZ,£4.8M - £9.2M,6.88,2,1.09,0,-,1.11,29%,0.33,-,49.12,90%,0.46,2,4,25%,2.62,82%,3,1.70,14,18,6.87,5.69,83%,0,0.26,3,7.6mi,3,0,1,16 (4),"1,376",17,0,0,68.80,5,105,1,116.9mi,4,87,26,7,835,751,49,40,30/6/2034,"£5,000 p/w",Right,11-15,1-3,12-16,13-16,11-14,11-14,12-15,1-4,1-2,7-10,14-17,7-10,5-9,12-16,12-15,4-7,2-5,4-7,9-12,8-11,3-6,1-4,14,17,1-4,12-16,7-11,5-8,12-15,11-15,6-9,3-6,10-14,9-13,3-6,11-14,2-6,1-4,1-2,11-15,9-12,12,5-9,14-18,1-2,8-12,9-13,1.05,0.78,0.06,9.03,15.37,7.26,8.63,1.90,6.74,0.05,12,-,-,12%,0.46,-,-,7,-,-,-,-,-,0.07,-,1.09,Eredivisie,Physical,Center back,Scouting Required,0,0.13,0.92,0.26,0.07,0,1.18,0.20,25%,0.26,0.07,54.61,0.13,0.20,0.07,-,Wnt,- -  - 
Iker Muñoz,"DM, M (C)",29,ESP,"5'10""",165 lbs,,Athletic Bilbao,£3M - £6.4M,7.01,1,0.63,0,-,0.53,83%,0.44,0.27,79.61,92%,1.42,3,7,100%,2.13,83%,0,1.69,11,6,1.07,0.36,33%,0,0.62,3,8.8mi,1,0,1,12 (8),"1,013",6,3,0,50.65,5,12,3,99.2mi,7,4,19,16,972,896,29,24,30/6/2034,"£19,750 p/w",Right,8-14,-,6-12,11-17,13-19,8-12,10-14,-,-,11-15,12-16,9-13,7-13,11-15,13-17,7-13,-,7-11,11-15,10-14,4-8,-,10-14,5-9,-,8-14,10-14,4-8,6-10,10-16,10-16,-,12-16,10-16,-,10-14,-,-,-,11-15,11-15,13-17,14-18,11-15,-,14-18,12-16,0.18,0.53,0.10,12.53,7.73,8.26,8.44,2.84,6.57,0.18,6,-,-,17%,1.15,-,-,13,-,-,-,-,-,0.06,-,0.63,LaLiga EA Sports,Intelligent,Midfielder,Scouting Required,0,0.27,0.98,0.62,0.27,0,0.71,0.00,43%,0.18,0.18,86.36,0.18,0.36,0.06,-,,- -  - 
Dmitry Terekhov,AM (R),19,UKR,"6'0""",167 lbs,,Shakhtar,Unknown,7.21,5,3.99,0,-,2.49,38%,0.96,0.06,23.14,84%,0.76,2,42,9%,1.98,84%,0,0.70,5,12,3.19,0.83,26%,0,2.29,21,5.3mi,0,0,3,15 (5),"1,412",39,1,0,70.60,15,50,4,83.1mi,36,13,11,12,432,363,37,31,30/6/2036,"£22,500 p/w",Unknown,8-17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6-13,6-12,-,-,-,8-15,6-12,-,-,4-12,-,-,-,11-20,-,14-20,6-15,-,-,-,-,-,-,7-13,-,-,11-19,-,-,9-17,0.00,0.25,0.10,10.77,2.29,9.18,7.84,2.04,1.40,0.05,4,-,-,13%,0.76,-,-,12,-,-,-,-,-,0.25,-,3.99,Favbet Liha,Physical,Winger,Scouting Required,0,0.13,0.32,2.68,0.25,1,2.36,0.00,10%,2.68,0.25,27.54,0.00,0.89,0.25,-,,- -  - 
Javier Mayor,"D (LC), DM",22,ARG,"5'8""",154 lbs,,Defensa y Justicia,£500K - £5.2M,6.79,0,0.10,0,-,0.06,0%,0.00,-,44.35,88%,0.93,1,39,7%,3.61,94%,3,2.99,22,22,3.74,2.74,73%,0,0.62,11,8.2mi,3,0,3,17 (3),"1,445",1,0,0,72.25,0,60,3,131.0mi,10,44,48,15,809,712,62,58,31/12/2034,"£2,600 p/w",Left,13-17,-,14-18,9-13,12-16,15-19,11-15,-,-,5-11,9-13,1-3,9-13,12-18,8-14,5-9,-,-,8-14,2-6,1-3,-,6-10,4-8,-,7-11,3-9,1-7,9-13,14-18,4-8,-,12-16,10-14,-,9-13,-,-,-,11-17,11-17,12-16,10-14,9-15,-,9-13,11-17,0.12,1.00,0.10,16.57,12.39,15.01,9.16,2.93,6.04,0.11,16,-,-,-,0.93,-,-,15,-,-,-,-,-,0.01,-,0.10,Liga Profesional de Fútbol,Physical,Fullback,Scouting Required,0,0.06,1.37,2.43,0.19,0,1.00,0.19,8%,2.43,0.19,50.39,0.81,0.06,0.01,-,,- -  - 
Juan Diego Castillo,GK,29,COL,"6'4""",174 lbs,,Grêmio,£5M - £8M,6.88,0,0.00,0,-,-,-,-,-,10.66,58%,-,0,-,-,-,-,0,-,-,0,-,-,-,1,-,6,3.3mi,0,0,0,20,"1,765",0,0,0,88.25,-,-,-,64.0mi,0,-,0,0,363,209,0,-,31/12/2032,"£12,750 p/w",Right,9-13,12-16,6-10,11-14,11-14,11-14,9-12,14,9-12,7-10,12-15,3-6,1-3,11-15,7-10,1-3,5-8,2-5,4-7,3-6,2-5,12,1-3,14-17,16,10-14,1-4,1-2,2-5,11-15,1-3,15-18,10-14,8-12,1-4,12-15,5-9,11-14,2-6,10-14,10-13,1-3,7-11,10-14,13,7-11,8-12,0.00,-,0.00,0.00,3.93,8.16,0.00,0.00,0.10,0.00,-,4.25,87%,-,0.00,7,0.22,0,73%,11,27,0.92,0.51,0.00,-,0.00,Campeonato Brasileiro Assaí Série A,Distributor,Goalkeeper,Scouting Required,-,-,7.09,-,-,-,-,0.00,-,-,-,18.51,-,-,0.00,2,,- -  - 
Axel Tuanzebe,"D (RC), DM",34,COD,"6'1""",158 lbs,,Hibernian,£350K - £1.1M,6.93,0,0.79,0,-,0.63,42%,0.26,-,71.49,93%,0.42,1,1,-,1.16,76%,8,2.64,11,11,5.82,3.54,61%,1,0.16,1,7.1mi,4,0,1,18 (2),"1,702",12,0,0,85.10,5,110,0,134.3mi,3,67,50,8,"1,459","1,352",29,22,31/5/2032,"£7,750 p/w",Right,6-10,3-6,11-15,11-15,15-19,7-10,10-13,1-3,1-4,10-13,13-16,2-5,1-5,10-14,12-15,9-13,2-5,1-4,11-14,6-9,1-4,1-5,11,12,1-5,9-13,1-5,4-7,14,10-14,4-8,1-3,11-14,10-14,7-11,12-15,1-5,1-2,3-6,6-10,7-10,13,12-15,10-14,1-2,7-10,11-15,0.37,0.48,0.07,6.82,11.47,6.03,3.54,1.11,4.60,0.04,9,-,-,-,0.42,-,-,8,-,-,-,-,-,0.04,-,0.79,cinch Premiership,Intelligent,Veteran center back,Scouting Required,0,0.05,0.58,0.05,0.00,0,2.27,0.42,0%,0.05,0.00,77.15,0.26,0.16,0.04,-,,- -  - 
Mauricio Molina,M/AM (RL),27,COL,"5'7""",143 lbs,,Almagro,£550K - £5.8M,6.90,2,2.59,0,-,0.76,40%,0.31,0.05,26.80,83%,1.12,2,63,12%,2.19,83%,1,1.98,19,30,4.98,0.81,16%,0,2.95,30,6.9mi,5,0,8,20,"1,770",15,1,0,88.50,6,98,8,135.8mi,58,16,39,22,636,527,52,43,31/12/2033,"£5,250 p/w",Right,11-15,-,7-11,16-20,10-14,10-14,5-9,-,-,5-11,3-9,5-11,11-15,8-12,10-16,14-18,-,9-13,11-17,11-17,2-6,-,5-9,2-8,-,6-10,6-10,1-6,-,8-12,14-18,-,13-17,10-14,1-5,-,-,-,-,11-15,4-10,5-9,7-11,10-14,-,7-11,9-13,0.00,0.15,0.17,12.56,4.42,14.90,12.05,3.00,3.15,0.07,3,-,-,13%,1.12,-,-,22,-,-,-,-,-,0.13,-,2.59,Liga Profesional de Fútbol,Technical,Winger,Scouting Required,0,0.10,0.97,3.20,0.41,0,4.17,0.05,13%,3.20,0.41,32.34,0.00,0.25,0.13,-,,- -  - 
Pablo Candia,"D (C), DM, M (C)",23,ARG,"5'8""",158 lbs,,Sarmiento,£350K - £3.6M,6.75,1,2.72,1,100%,0.96,22%,0.21,0.05,44.33,89%,1.02,0,6,33%,2.30,80%,2,1.71,14,28,3.64,1.34,37%,0,0.48,12,7.7mi,2,0,1,19 (1),"1,683",18,1,1,84.15,4,68,2,143.7mi,9,25,32,19,934,829,54,43,31/12/2034,"£2,900 p/w",Right,10-16,-,8-14,9-15,11-17,9-13,3-7,-,-,7-11,11-15,7-11,1-4,12-16,14-18,4-10,-,1-5,5-9,10-14,2-6,-,6-10,7-11,-,6-12,9-13,-,7-11,11-17,8-14,-,13-17,3-9,-,10-14,-,-,-,11-15,14-18,11-15,11-15,7-11,-,11-15,12-16,0.16,0.27,0.15,10.59,12.62,9.09,10.53,2.89,4.06,0.05,5,-,-,6%,1.02,-,-,19,-,-,-,-,-,0.15,-,2.72,Liga Profesional de Fútbol,Physical,Midfielder,Scouting Required,0,-,0.75,0.32,0.11,1,2.30,0.11,33%,0.32,0.11,49.95,0.27,0.37,0.15,-,,- -  - 
Jules Koundé,"D (RC), WB (R)",33,FRA,"5'10""",152 lbs,Resolute,FC Barcelona,£25M - £37M,7.12,2,1.46,0,-,0.77,38%,0.30,0.18,61.42,93%,0.53,3,25,28%,2.02,72%,4,3.14,8,11,5.28,3.20,61%,0,1.48,9,8.0mi,2,0,1,18 (2),"1,518",13,3,0,75.90,5,89,7,135.1mi,25,54,53,9,"1,120","1,036",47,34,30/6/2032,"£145,000 p/w",Right,12,1,14,16,16,15,14,3,2,14,13,5,13,15,16,11,4,9,14,12,4,3,14,12,3,14,6,8,16,16,12,2,14,14,7,16,3,3,3,13,12,15,15,14,1,13,16,0.65,0.42,0.11,10.08,14.88,7.94,8.60,3.14,7.89,0.07,7,-,-,15%,0.53,-,-,9,-,-,-,-,-,0.09,-,1.46,LaLiga EA Sports,Technical,Elite center-back,Level-headed,0,0.18,0.47,1.48,0.42,1,2.08,0.24,28%,1.48,0.42,66.40,0.06,0.36,0.09,-,Wnt,- -  - 
Pablo Ferreira,"DM, M (C)",27,ARG,"5'10""",136 lbs,,Banfield,£6.8M - £11M,7.01,0,0.12,0,-,0.11,0%,0.00,0.28,42.66,91%,1.25,6,11,9%,2.85,83%,1,1.71,11,14,4.50,2.51,56%,0,0.74,11,7.5mi,1,0,1,20,"1,580",2,5,0,79.00,0,79,1,131.4mi,13,44,30,22,827,749,60,50,31/12/2034,"£13,000 p/w",Right Only,10-16,-,7-13,9-13,12-16,13-17,10-14,-,-,14-18,9-15,6-12,7-13,11-15,7-11,3-7,-,11-15,10-14,4-10,8-12,-,9-13,6-12,-,10-16,11-15,-,9-15,11-17,8-12,-,10-14,11-17,-,15-19,-,-,-,11-15,11-15,11-15,13-17,12-16,-,10-14,10-14,0.40,0.17,0.06,9.68,14.70,10.99,11.51,3.42,4.22,0.24,3,-,-,-,1.25,-,-,22,-,-,-,-,-,0.01,-,0.12,Liga Profesional de Fútbol,Intelligent,Midfielder,Scouting Required,0,0.34,0.63,0.63,0.06,0,1.99,0.06,9%,0.63,0.06,47.11,0.06,0.00,0.01,-,,- -  - 
Mateo Solís,M/AM (LC),24,ARG,"5'9""",154 lbs,,Estudiantes de La Plata,£5.8M - £9.4M,7.28,5,3.73,2,100%,2.12,33%,0.69,0.27,24.43,83%,2.17,3,98,15%,2.65,81%,0,1.86,23,14,4.24,1.06,25%,0,2.44,14,8.3mi,0,0,4,20,"1,698",40,5,2,84.90,13,80,17,156.7mi,46,20,35,41,553,461,62,50,31/12/2035,"£20,500 p/w",Left,11-15,-,7-11,10-14,10-14,13-17,8-12,-,-,12-18,5-9,6-10,7-11,10-16,9-15,14-18,-,8-12,11-17,12-16,11-15,-,4-8,5-9,-,10-14,6-12,5-11,-,18-20,12-16,-,8-12,14-18,6-10,-,-,-,-,9-15,9-15,3-7,10-14,12-18,-,12-16,9-15,0.21,0.27,0.09,17.17,5.94,12.30,12.88,4.03,3.50,0.17,5,-,-,13%,1.48,-,-,28,-,-,-,-,-,0.20,-,3.73,Liga Profesional de Fútbol,Creative,Winger,Scouting Required,0,0.16,1.22,5.19,0.90,1,3.18,0.00,17%,3.13,0.48,29.31,0.00,0.48,0.20,-,,- -  - 
Edgardo Cano,M (C),21,ARG,"5'9""",156 lbs,,Newell's Old Boys,£3.2M - £5.2M,6.83,1,0.60,0,-,0.59,25%,0.15,0.29,41.73,88%,1.18,5,16,56%,2.20,81%,0,1.18,4,17,2.72,0.96,35%,0,0.88,4,7.7mi,2,0,3,20,"1,225",8,4,0,61.25,2,37,9,105.1mi,12,13,16,16,644,568,37,30,31/12/2035,"£19,000 p/w",Right,12-18,-,6-12,7-11,9-13,14-18,7-11,-,-,11-15,7-13,1-7,3-9,13-17,13-17,3-7,-,7-11,15-19,8-14,5-9,-,6-10,3-9,-,11-17,11-15,-,7-13,13-19,9-13,-,13-17,11-17,-,14-18,-,-,-,10-14,10-14,9-13,13-17,15-19,-,14-18,12-16,0.00,0.29,0.07,10.73,15.87,12.27,11.02,3.16,3.53,0.30,4,-,-,13%,1.18,-,-,16,-,-,-,-,-,0.04,-,0.60,Liga Profesional de Fútbol,Intelligent,Midfielder,Scouting Required,0,0.37,0.29,1.18,0.66,0,1.76,0.00,56%,1.18,0.66,47.31,0.00,0.07,0.04,-,Wnt,- -  - 
Jan Gawron,ST (C),22,POL,"5'9""",152 lbs,,Pogoń,Unknown,6.94,5,4.12,1,100%,2.06,50%,1.03,0.28,24.70,84%,1.40,6,45,15%,2.06,79%,0,1.22,14,17,8.79,0.75,9%,0,2.15,8,8.6mi,0,0,3,8 (12),962,22,3,1,48.10,11,94,9,91.6mi,23,8,13,15,316,264,28,22,30/6/2032,"£3,000 p/w",Unknown,9-17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8-14,10-15,-,-,-,11-17,3-8,-,-,6-12,-,-,-,9-17,-,13-19,3-11,-,-,-,-,-,-,6-11,-,-,13-19,-,-,9-15,0.00,0.19,0.19,11.60,4.96,9.92,9.45,2.34,2.71,0.16,2,-,-,23%,1.03,-,-,11,-,-,-,-,-,0.31,-,3.32,PKO Bank Polski Ekstraklasa,Technical,Forward,Scouting Required,1,0.56,1.31,4.21,0.84,1,8.05,0.00,20%,2.43,0.37,29.56,0.00,1.03,0.39,-,Loa,- -  - 
